run_no	trial_no	stim_file	category	subcategory	response	correctness
1	1	T0040_SORT_IST.java	Sort	InsertionSort	Search	incorrect
1	2	T0066_STRING_SSC.java	String	StringSort	String	correct
1	3	T0013_MATH_PNM.java	Math	PrimeNumber	Math	correct
1	4	T0028_SEARCH_LSC.java	Search	LinerSearch	Math	incorrect
1	5	T0018_MATH_PNM.java	Math	PrimeNumber	Math	correct
1	6	T0034_SEARCH_BSC.java	Search	BinarySearch	Math	incorrect
1	7	T0062_STRING_SSC.java	String	StringSort	String	correct
1	8	T0047_SORT_BST.java	Sort	BubbleSort	Sort	correct
1	9	T0043_SORT_BST.java	Sort	BubbleSort	Sort	correct
1	10	T0071_STRING_RLE.java	String	RunLength	String	correct
1	11	T0020_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	12	T0008_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
1	13	T0038_SORT_IST.java	Sort	InsertionSort	Search	incorrect
1	14	T0052_SORT_SST.java	Sort	SelectionSort	Sort	correct
1	15	T0042_SORT_IST.java	Sort	InsertionSort	Search	incorrect
1	16	T0010_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
1	17	T0015_MATH_PNM.java	Math	PrimeNumber	Math	correct
1	18	T0036_SEARCH_BSC.java	Search	BinarySearch	String	incorrect
1	19	T0057_STRING_STS.java	String	SubstringSearch	String	correct
1	20	T0027_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	21	T0001_MATH_PWR.java	Math	Power	Math	correct
1	22	T0006_MATH_PWR.java	Math	Power	Math	correct
1	23	T0009_MATH_GCD.java	Math	GreatestCommonDivider	Sort	incorrect
1	24	T0030_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	25	T0032_SEARCH_BSC.java	Search	BinarySearch	Sort	incorrect
1	26	T0019_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	27	T0068_STRING_RLE.java	String	RunLength	String	correct
1	28	T0022_SEARCH_LSC.java	Search	LinerSearch	String	incorrect
1	29	T0064_STRING_SSC.java	String	StringSort	String	correct
1	30	T0051_SORT_SST.java	Sort	SelectionSort	Sort	correct
1	31	T0058_STRING_STS.java	String	SubstringSearch	String	correct
1	32	T0055_STRING_STS.java	String	SubstringSearch	Search	incorrect
1	33	T0048_SORT_BST.java	Sort	BubbleSort	Sort	correct
1	34	T0004_MATH_PWR.java	Math	Power	Math	correct
1	35	T0053_SORT_SST.java	Sort	SelectionSort	Sort	correct
1	36	T0070_STRING_RLE.java	String	RunLength	String	correct
2	1	T0033_SEARCH_BSC.java	Search	BinarySearch	Search	correct
2	2	T0003_MATH_PWR.java	Math	Power	Math	correct
2	3	T0007_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
2	4	T0049_SORT_SST.java	Sort	SelectionSort	Sort	correct
2	5	T0017_MATH_PNM.java	Math	PrimeNumber	Search	incorrect
2	6	T0011_MATH_GCD.java	Math	GreatestCommonDivider	Sort	incorrect
2	7	T0021_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	8	T0054_SORT_SST.java	Sort	SelectionSort	Sort	correct
2	9	T0069_STRING_RLE.java	String	RunLength	Search	incorrect
2	10	T0031_SEARCH_BSC.java	Search	BinarySearch	Search	correct
2	11	T0056_STRING_STS.java	String	SubstringSearch	String	correct
2	12	T0044_SORT_BST.java	Sort	BubbleSort	Sort	correct
2	13	T0067_STRING_RLE.java	String	RunLength	String	correct
2	14	T0002_MATH_PWR.java	Math	Power	Math	correct
2	15	T0061_STRING_SSC.java	String	StringSort	String	correct
2	16	T0045_SORT_BST.java	Sort	BubbleSort	Sort	correct
2	17	T0012_MATH_GCD.java	Math	GreatestCommonDivider	Sort	incorrect
2	18	T0072_STRING_RLE.java	String	RunLength	String	correct
2	19	T0026_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	20	T0041_SORT_IST.java	Sort	InsertionSort	String	incorrect
2	21	T0063_STRING_SSC.java	String	StringSort	String	correct
2	22	T0060_STRING_STS.java	String	SubstringSearch	Sort	incorrect
2	23	T0059_STRING_STS.java	String	SubstringSearch	Sort	incorrect
2	24	T0014_MATH_PNM.java	Math	PrimeNumber	Search	incorrect
2	25	T0046_SORT_BST.java	Sort	BubbleSort	Sort	correct
2	26	T0029_SEARCH_LSC.java	Search	LinerSearch	String	incorrect
2	27	T0039_SORT_IST.java	Sort	InsertionSort	Search	incorrect
2	28	T0035_SEARCH_BSC.java	Search	BinarySearch	String	incorrect
2	29	T0016_MATH_PNM.java	Math	PrimeNumber	Search	incorrect
2	30	T0065_STRING_SSC.java	String	StringSort	String	correct
2	31	T0050_SORT_SST.java	Sort	SelectionSort	String	incorrect
2	32	T0037_SORT_IST.java	Sort	InsertionSort	String	incorrect
2	33	T0023_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	34	T0025_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	35	T0024_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	36	T0005_MATH_PWR.java	Math	Power	Math	correct
3	1	T0048_SORT_BST.java	Sort	BubbleSort	Sort	correct
3	2	T0031_SEARCH_BSC.java	Search	BinarySearch	String	incorrect
3	3	T0015_MATH_PNM.java	Math	PrimeNumber	Math	correct
3	4	T0047_SORT_BST.java	Sort	BubbleSort	Sort	correct
3	5	T0018_MATH_PNM.java	Math	PrimeNumber	Search	incorrect
3	6	T0021_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	7	T0032_SEARCH_BSC.java	Search	BinarySearch	Sort	incorrect
3	8	T0053_SORT_SST.java	Sort	SelectionSort	String	incorrect
3	9	T0055_STRING_STS.java	String	SubstringSearch	String	correct
3	10	T0059_STRING_STS.java	String	SubstringSearch	Sort	incorrect
3	11	T0063_STRING_SSC.java	String	StringSort	Search	incorrect
3	12	T0066_STRING_SSC.java	String	StringSort	String	correct
3	13	T0052_SORT_SST.java	Sort	SelectionSort	Sort	correct
3	14	T0058_STRING_STS.java	String	SubstringSearch	String	correct
3	15	T0070_STRING_RLE.java	String	RunLength	String	correct
3	16	T0011_MATH_GCD.java	Math	GreatestCommonDivider	Search	incorrect
3	17	T0046_SORT_BST.java	Sort	BubbleSort	Sort	correct
3	18	T0025_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	19	T0068_STRING_RLE.java	String	RunLength	String	correct
3	20	T0061_STRING_SSC.java	String	StringSort	String	correct
3	21	T0037_SORT_IST.java	Sort	InsertionSort	Math	incorrect
3	22	T0005_MATH_PWR.java	Math	Power	Math	correct
3	23	T0071_STRING_RLE.java	String	RunLength	String	correct
3	24	T0042_SORT_IST.java	Sort	InsertionSort	Search	incorrect
3	25	T0003_MATH_PWR.java	Math	Power	Math	correct
3	26	T0041_SORT_IST.java	Sort	InsertionSort	Search	incorrect
3	27	T0030_SEARCH_LSC.java	Search	LinerSearch	String	incorrect
3	28	T0020_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	29	T0007_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
