run_no	trial_no	stim_file	category	subcategory	response	correctness
1	1	0013_MATH_GCD.java	Math	GreatestCommonDivider	GreatestCommonDivider	correct
1	2	0034_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
1	3	0023_SEARCH_BSC.java	Search	BinarySearch	BinarySearch	correct
1	4	0015_MATH_GCD.java	Math	GreatestCommonDivider	GreatestCommonDivider	correct
1	5	0050_SORT_SST.java	Sort	SelectionSort	BubbleSort	incorrect
1	6	0026_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
1	7	0043_SORT_IST.java	Sort	InsertionSort	InsertionSort	correct
1	8	0019_SEARCH_BSC.java	Search	BinarySearch	BinarySearch	correct
1	9	0014_MATH_GCD.java	Math	GreatestCommonDivider	GreatestCommonDivider	correct
1	10	0052_SORT_SST.java	Sort	SelectionSort	BubbleSort	incorrect
1	11	0049_SORT_SST.java	Sort	SelectionSort	BubbleSort	incorrect
1	12	0070_STRING_RLE.java	String	RunLength	RunLength	correct
1	13	0029_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
1	14	0004_MATH_PNM.java	Math	PrimalityTest	PrimalityTest	correct
1	15	0071_STRING_RLE.java	String	RunLength	RunLength	correct
1	16	0024_SEARCH_BSC.java	Search	BinarySearch	LinerSearch	incorrect
1	17	0038_SORT_BST.java	Sort	BubbleSort	BubbleSort	correct
1	18	0028_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
1	19	0035_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
1	20	0058_STRING_SSC.java	String	SubstringSearch	SubstringSearch	correct
1	21	0006_MATH_PNM.java	Math	PrimalityTest	PrimalityTest	correct
1	22	0002_MATH_PNM.java	Math	PrimalityTest	PrimalityTest	correct
1	23	0062_STRING_STS.java	String	StringSort	SubstringSearch	incorrect
1	24	0010_MATH_PWR.java	Math	Power	None	incorrect
1	25	0067_STRING_RLE.java	String	RunLength	RunLength	correct
1	26	0064_STRING_STS.java	String	StringSort	StringSort	correct
1	27	0008_MATH_PWR.java	Math	Power	Power	correct
1	28	0046_SORT_IST.java	Sort	InsertionSort	InsertionSort	correct
1	29	0039_SORT_BST.java	Sort	BubbleSort	BubbleSort	correct
1	30	0055_STRING_SSC.java	String	SubstringSearch	SubstringSearch	correct
1	31	0037_SORT_BST.java	Sort	BubbleSort	BubbleSort	correct
1	32	0059_STRING_SSC.java	String	SubstringSearch	SubstringSearch	correct
1	33	0012_MATH_PWR.java	Math	Power	Power	correct
1	34	0065_STRING_STS.java	String	StringSort	SubstringSearch	incorrect
1	35	0045_SORT_IST.java	Sort	InsertionSort	BubbleSort	incorrect
1	36	0025_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
2	1	0057_STRING_SSC.java	String	SubstringSearch	SubstringSearch	correct
2	2	0020_SEARCH_BSC.java	Search	BinarySearch	BinarySearch	correct
2	3	0042_SORT_BST.java	Sort	BubbleSort	BubbleSort	correct
2	4	0048_SORT_IST.java	Sort	InsertionSort	InsertionSort	correct
2	5	0033_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
2	6	0056_STRING_SSC.java	String	SubstringSearch	SubstringSearch	correct
2	7	0051_SORT_SST.java	Sort	SelectionSort	InsertionSort	incorrect
2	8	0001_MATH_PNM.java	Math	PrimalityTest	PrimalityTest	correct
2	9	0021_SEARCH_BSC.java	Search	BinarySearch	BinarySearch	correct
2	10	0068_STRING_RLE.java	String	RunLength	RunLength	correct
2	11	0066_STRING_STS.java	String	StringSort	SubstringSearch	incorrect
2	12	0063_STRING_STS.java	String	StringSort	StringSort	correct
2	13	0007_MATH_PWR.java	Math	Power	Power	correct
2	14	0011_MATH_PWR.java	Math	Power	Power	correct
2	15	0047_SORT_IST.java	Sort	InsertionSort	InsertionSort	correct
2	16	0060_STRING_SSC.java	String	SubstringSearch	SubstringSearch	correct
2	17	0069_STRING_RLE.java	String	RunLength	RunLength	correct
2	18	0003_MATH_PNM.java	Math	PrimalityTest	PrimalityTest	correct
2	19	0072_STRING_RLE.java	String	RunLength	RunLength	correct
2	20	0044_SORT_IST.java	Sort	InsertionSort	None	incorrect
2	21	0005_MATH_PNM.java	Math	PrimalityTest	PrimalityTest	correct
2	22	0031_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
2	23	0041_SORT_BST.java	Sort	BubbleSort	BubbleSort	correct
2	24	0061_STRING_STS.java	String	StringSort	StringSort	correct
2	25	0036_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
2	26	0022_SEARCH_BSC.java	Search	BinarySearch	LinerSearch	incorrect
2	27	0018_MATH_GCD.java	Math	GreatestCommonDivider	GreatestCommonDivider	correct
2	28	0032_SEARCH_LSC.java	Search	LinerSearch	BinarySearch	incorrect
2	29	0016_MATH_GCD.java	Math	GreatestCommonDivider	GreatestCommonDivider	correct
2	30	0040_SORT_BST.java	Sort	BubbleSort	BubbleSort	correct
2	31	0054_SORT_SST.java	Sort	SelectionSort	SelectionSort	correct
2	32	0053_SORT_SST.java	Sort	SelectionSort	SelectionSort	correct
2	33	0017_MATH_GCD.java	Math	GreatestCommonDivider	GreatestCommonDivider	correct
2	34	0027_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
2	35	0009_MATH_PWR.java	Math	Power	Power	correct
2	36	0030_SEARCH_LSC.java	Search	LinerSearch	LinerSearch	correct
